date,uniqueID,max,min,humidity,steps
11/1/2020,Enbibi,79,50,73,5298
11/2/2020,Enbibi,78.1,46.9,0,1463
11/3/2020,Enbibi,81,43,64,4772
11/4/2020,Enbibi,82,48,68,5407
11/5/2020,Enbibi,82.9,57,86,2738
11/6/2020,Enbibi,80.1,64,86,6690
11/7/2020,Enbibi,72,59,80,8371
11/8/2020,Enbibi,73,64,86,3205
11/9/2020,Enbibi,85,61,83,1490
11/10/2020,Enbibi,82,65,86,8161
11/11/2020,Enbibi,81,64,41,4350
11/12/2020,Enbibi,84,58,58,14312
11/13/2020,Enbibi,84,58,86,11911
11/14/2020,Enbibi,84,71,80,12077
11/15/2020,Enbibi,73,60,63,5473
11/16/2020,Enbibi,76,35,57,389
10/20/2020,Caitlin,91,75.2,43,2100
10/21/2020,Caitlin,91,73.4,45,2312
10/22/2020,Caitlin,91,73,78,2145
10/23/2020,Caitlin,84.9,57,82,2345
10/24/2020,Caitlin,66.9,53.1,0,3102
10/25/2020,Caitlin,86,55,70,2800
10/26/2020,Caitlin,82,45,90,2398
10/27/2020,Caitlin,46,39.9,89,800
10/28/2020,Caitlin,61,39,90,750
10/29/2020,Caitlin,64,39.9,81,158
10/30/2020,Caitlin,73,45,62,1827
10/31/2020,Caitlin,79,41,78,1782
11/1/2020,Caitlin,79,50,73,2123
11/2/2020,Caitlin,78.1,46.9,0,2982
11/3/2020,Caitlin,81,43,64,4892
11/4/2020,Caitlin,82,48,68,1234
11/5/2020,Caitlin,82.9,57,86,2214
11/6/2020,Caitlin,80.1,64,86,5430
11/7/2020,Caitlin,72,59,80,628
11/8/2020,Caitlin,73,64,86,6745
11/9/2020,Caitlin,85,61,83,1209
11/10/2020,Caitlin,82,65,86,978
11/11/2020,Caitlin,81,64,41,4509
11/12/2020,Caitlin,84,58,58,1098
11/13/2020,Caitlin,84,58,86,1425
11/14/2020,Caitlin,84,71,80,500
11/15/2020,Caitlin,73,60,63,299
11/16/2020,Caitlin,76,35,57,1389
10/20/2020,atomicmav,91,75.2,43,5088
10/21/2020,atomicmav,91,73.4,45,4388
10/22/2020,atomicmav,91,73,78,2252
10/23/2020,atomicmav,84.9,57,82,3347
10/24/2020,atomicmav,66.9,53.1,0,10004
10/25/2020,atomicmav,86,55,70,1946
10/26/2020,atomicmav,82,45,90,1751
10/27/2020,atomicmav,46,39.9,89,2285
10/28/2020,atomicmav,61,39,90,2758
10/29/2020,atomicmav,64,39.9,81,2151
10/30/2020,atomicmav,73,45,62,2320
10/31/2020,atomicmav,79,41,78,3211
11/1/2020,atomicmav,79,50,73,3063
11/2/2020,atomicmav,78.1,46.9,0,3102
11/3/2020,atomicmav,81,43,64,5480
11/4/2020,atomicmav,82,48,68,3907
11/5/2020,atomicmav,82.9,57,86,5452
11/6/2020,atomicmav,80.1,64,86,12674
11/7/2020,atomicmav,72,59,80,3119
11/8/2020,atomicmav,73,64,86,3863
11/9/2020,atomicmav,85,61,83,5100
11/10/2020,atomicmav,82,65,86,2056
11/11/2020,atomicmav,81,64,41,9703
11/12/2020,atomicmav,84,58,58,3538
11/13/2020,atomicmav,84,58,86,6866
11/14/2020,atomicmav,84,71,80,8391
11/15/2020,atomicmav,73,60,63,2883
11/16/2020,atomicmav,76,35,57,2441
10/20/2020,Orange,91,75.2,43,530
10/21/2020,Orange,91,73.4,45,2234
10/22/2020,Orange,91,73,78,646
10/23/2020,Orange,84.9,57,82,2285
10/24/2020,Orange,66.9,53.1,0,547
10/25/2020,Orange,86,55,70,1389
10/26/2020,Orange,82,45,90,378
10/27/2020,Orange,46,39.9,89,765
10/28/2020,Orange,61,39,90,946
10/29/2020,Orange,64,39.9,81,1221
10/30/2020,Orange,73,45,62,2235
10/31/2020,Orange,79,41,78,1936
11/1/2020,Orange,79,50,73,2816
11/2/2020,Orange,78.1,46.9,0,1810
11/3/2020,Orange,81,43,64,2581
11/4/2020,Orange,82,48,68,2414
11/5/2020,Orange,82.9,57,86,2037
11/6/2020,Orange,80.1,64,86,335
11/7/2020,Orange,72,59,80,2747
11/8/2020,Orange,73,64,86,1434
11/9/2020,Orange,85,61,83,2200
11/10/2020,Orange,82,65,86,674
11/11/2020,Orange,81,64,41,839
11/12/2020,Orange,84,58,58,1920
11/13/2020,Orange,84,58,86,210
11/14/2020,Orange,84,71,80,866
11/15/2020,Orange,73,60,63,1834
11/16/2020,Orange,76,35,57,1542
10/20/2020,Mounika,91,75.2,43,504
10/21/2020,Mounika,91,73.4,45,1201
10/22/2020,Mounika,91,73,78,1577
10/23/2020,Mounika,84.9,57,82,2069
10/24/2020,Mounika,66.9,53.1,0,4145
10/25/2020,Mounika,86,55,70,955
10/26/2020,Mounika,82,45,90,346
10/27/2020,Mounika,46,39.9,89,820
10/28/2020,Mounika,61,39,90,1347
10/29/2020,Mounika,64,39.9,81,945
10/30/2020,Mounika,73,45,62,2347
10/31/2020,Mounika,79,41,78,4406
11/1/2020,Mounika,79,50,73,930
11/2/2020,Mounika,78.1,46.9,0,2376
11/3/2020,Mounika,81,43,64,1379
11/4/2020,Mounika,82,48,68,3498
11/5/2020,Mounika,82.9,57,86,943
11/6/2020,Mounika,80.1,64,86,407
11/7/2020,Mounika,72,59,80,658
11/8/2020,Mounika,73,64,86,1582
11/9/2020,Mounika,85,61,83,583
11/10/2020,Mounika,82,65,86,3673
11/11/2020,Mounika,81,64,41,1259
11/12/2020,Mounika,84,58,58,962
11/13/2020,Mounika,84,58,86,2995
11/14/2020,Mounika,84,71,80,3256
11/15/2020,Mounika,73,60,63,6837
11/16/2020,Mounika,76,35,57,192
10/20/2020,Debleena,91,75.2,43,4949
10/21/2020,Debleena,91,73.4,45,6876
10/22/2020,Debleena,91,73,78,1653
10/23/2020,Debleena,84.9,57,82,2974
10/24/2020,Debleena,66.9,53.1,0,765
10/25/2020,Debleena,86,55,70,3159
10/26/2020,Debleena,82,45,90,830
10/27/2020,Debleena,46,39.9,89,6288
10/28/2020,Debleena,61,39,90,6462
10/29/2020,Debleena,64,39.9,81,3099
10/30/2020,Debleena,73,45,62,2829
10/31/2020,Debleena,79,41,78,2165
11/1/2020,Debleena,79,50,73,4521
11/2/2020,Debleena,78.1,46.9,0,3490
11/3/2020,Debleena,81,43,64,2135
11/4/2020,Debleena,82,48,68,2006
11/5/2020,Debleena,82.9,57,86,2148
11/6/2020,Debleena,80.1,64,86,10987
11/7/2020,Debleena,72,59,80,179
11/8/2020,Debleena,73,64,86,4143
11/9/2020,Debleena,85,61,83,150
11/10/2020,Debleena,82,65,86,2717
11/11/2020,Debleena,81,64,41,13547
11/12/2020,Debleena,84,58,58,3851
11/13/2020,Debleena,84,58,86,2206
11/14/2020,Debleena,84,71,80,1500
11/15/2020,Debleena,73,60,63,16141
